"","logA","logSmax","logSigma","Scale"
"1",0.741044654791586,2.67494598438286,-0.135356435193536,10000
"2",0.524578205021415,3.16843961748716,-0.304636318389381,10000
"3",0.514132503114457,3.16853294921773,-0.260850936599651,10000
"4",0.643395819995478,2.70475089981285,-0.297351643723383,10000
"5",0.752101848581758,2.47771407634546,-0.154376694119778,10000
"6",0.393738055181475,3.00921265942287,-0.35957484849399,10000
"7",0.97593441515985,2.39770892643383,-0.204751852155889,10000
"8",0.718321434743072,2.65180674074893,-0.282308749883056,10000
"9",0.613659033621594,2.78448571824254,-0.356534786386464,10000
"10",0.593489545601567,2.93728036486837,-0.393302339445905,10000
"11",0.837838177338927,2.43400330859252,-0.197222424753098,10000
"12",0.512819830200178,3.23290873388696,-0.106875234968273,10000
"13",0.661411648998925,2.76437971581772,-0.147189477720124,10000
"14",0.575912509518366,2.94799696383483,-0.369750657942517,10000
"15",0.8711359678647,2.37389455955704,-0.273944412095865,10000
"16",0.677739866456196,2.64717320951356,-0.17149718420315,10000
"17",0.6413071401349,2.68898251248932,-0.390416308040182,10000
"18",0.743708736116344,2.68819008214042,-0.189345742833251,10000
"19",0.806691713832165,2.59661188006309,-0.221447044069959,10000
"20",0.707827577207683,2.76826042111525,-0.304676476862341,10000
"21",0.64321271412113,3.0574502472232,-0.344647795258193,10000
"22",0.743617603167374,0.492019593874504,-0.19944162701149,1e+05
"23",0.706599469718285,3.10366084697507,-0.278838373978991,10000
"24",0.580987645325121,2.82271014009127,-0.372273739656739,10000
"25",0.712571550019943,2.52340596973303,-0.410650608482589,10000
"26",0.680115879598244,2.91940500344566,-0.13601872352196,10000
"27",0.361297133094955,3.76791519829091,-0.0741166931808985,10000
"28",0.947084931767197,1.79724840735624,-0.481104873151246,10000
"29",0.649744940156231,2.58405094989684,-0.292909109765657,10000
"30",0.532251733175156,2.96661670742026,-0.30747775746784,10000
"31",0.441239655327633,3.47275124758801,-0.2670913595923,10000
"32",0.724324802680863,0.646274261636772,-0.352609679350117,1e+05
"33",0.58996463034296,2.74405005750115,-0.219651527700674,10000
"34",0.793010065116575,2.46170407622299,-0.218807090940675,10000
"35",0.832885597589019,0.388088102326167,-0.191472385742356,1e+05
"36",0.682537445115718,2.86264663898522,-0.243683088791101,10000
"37",0.815733351659786,2.59555121821488,-0.371677922375542,10000
"38",0.971942193966172,2.37307659618179,-0.239333132531307,10000
"39",0.681582233148845,2.56114566172475,-0.447185806034659,10000
"40",0.542431948616612,3.25110840473443,-0.468236884999054,10000
"41",0.595755679069376,2.84748250549391,-0.181358229061907,10000
"42",0.546662236252513,3.03023882554533,-0.211341548091014,10000
"43",0.608786880398671,2.66586786297108,-0.160081349145142,10000
"44",0.672327261361697,2.81801159502215,-0.148115537229324,10000
"45",0.594333798406598,2.87182204977076,-0.341403707539198,10000
"46",0.657914858113654,0.710819640270275,-0.220261399910346,1e+05
"47",0.771475651790611,0.52320922380983,-0.279705253088687,1e+05
"48",0.725331047308503,0.680487562840295,-0.411797295004422,1e+05
"49",0.638670618407025,2.97249409988834,-0.319807342242273,10000
"50",0.676551295223963,2.88113143411219,-0.200048814257158,10000
"51",0.581040699899846,3.09766680331395,-0.227931545274302,10000
"52",0.806376171415619,2.63069927085316,-0.400658015021961,10000
"53",0.789765831193188,2.13009530921646,-0.195673807007755,10000
"54",0.556724553793632,2.71478236230334,-0.208780030439498,10000
"55",0.742158608118159,2.72103698644108,-0.249529301816453,10000
"56",0.639295035518801,2.82534424525654,-0.247999350357056,10000
"57",0.488951717008288,2.93884888911348,-0.26196822426247,10000
"58",0.874380097694785,0.330703861132079,-0.21233377332559,1e+05
