"","logA","logSmax","logSigma","Scale"
"1",0.555039900255484,2.96653917942598,-0.351215636394876,10000
"2",0.687309712780278,2.66451217147869,-0.391800141155985,10000
"3",0.747691956880973,2.12689460608818,-0.328198147185684,10000
"4",0.604009714832254,2.80833368204943,-0.382043321632333,10000
"5",0.805641058199063,2.58889243978398,-0.130940167946371,10000
"6",0.432330485642511,3.89244609966767,-0.230686864368018,10000
"7",0.954212167440618,2.39588061906725,-0.438128423787362,10000
"8",0.737744316435565,2.68110611910498,-0.162541283046963,10000
"9",0.683240755824467,2.75413952943829,-0.167939617898271,10000
"10",0.444025040275412,3.75618031320119,-0.230024574243042,10000
"11",0.651773413733703,2.24971840791218,-0.408240944773702,10000
"12",0.436169185853585,4.18830707175798,-0.421387357391675,1000
"13",0.719562636221039,2.04134678114682,-0.395622979218357,10000
"14",0.542044942063906,4.18081743515416,-0.23688404223093,10000
"15",0.457756746077241,2.09365164385766,-0.363181890624905,10000
"16",0.634276784009615,2.13926525064915,-0.210154504594377,10000
"17",0.319611415426846,4.51143421185317,-0.301018541128252,1000
"18",0.582718544405382,2.83492123406039,-0.369847290858288,10000
"19",0.318974783130751,3.45833210895665,-0.494050014198689,10000
"20",0.546225958651452,3.16571933092002,-0.273498845898283,10000
"21",0.701474267837816,2.70442992774094,-0.240325229302632,10000
"22",0.777652808050035,2.35817613648141,-0.371396700862435,10000
"23",0.586354164158115,3.11875994832923,-0.241380451102007,10000
"24",0.510111074865061,1.98451928857705,-0.347557506851465,10000
"25",0.926917271816512,2.50977151404064,-0.136432217224956,10000
"26",0.723244176791091,2.7443584866016,-0.428203733789411,10000
"27",0.428141943809065,3.81425553672146,-0.371310281896225,10000
"28",0.642716160313017,2.0711806372195,-0.296841887486542,10000
"29",0.739764562706385,2.46633050592178,-0.170110117943132,10000
"30",0.650795231971377,3.42505742303471,-0.259926090589751,10000
"31",0.775937248630438,2.44989223417062,-0.473312827045046,10000
"32",0.532561629839037,3.11459133296182,-0.435721782903104,10000
"33",0.935592462155093,1.99691751644696,-0.169879836110758,10000
"34",0.630250552631141,2.17158829453922,-0.400134088756877,10000
"35",0.590109984207866,3.81838735883619,-0.142459194063939,10000
"36",0.674994774099325,3.25263110856234,-0.129581967088443,10000
"37",0.748317135381574,2.23782758387951,-0.249388376178528,10000
"38",0.567653567150786,3.20263292414009,-0.325504640782065,10000
"39",0.792700215693954,1.98895279857509,-0.346406115144984,10000
"40",0.720386889782294,2.97012143839182,-0.440147519764991,10000
"41",0.854394970974718,2.26925752376845,-0.314027019513284,10000
"42",0.226603406310914,4.04391400896005,-0.475920431339386,10000
"43",0.951235580220631,2.23252084895136,-0.256949796558779,10000
"44",0.583390296362159,3.03498360190164,-0.334907524764581,10000
"45",0.651945578971917,2.71038458860088,-0.380015218160254,10000
"46",0.680155367526893,2.85840158157541,-0.34101875318515,10000
"47",0.787245701168827,1.96532920019692,-0.190121384389289,10000
"48",0.743445855662752,2.39562010470963,-0.44851585421845,10000
"49",0.484057239557237,2.56857956396565,-0.340252556327247,10000
"50",0.690470367122802,1.69261193983043,-0.411513718228851,10000
"51",0.705548554980372,2.90775013007885,-0.271090905790541,10000
"52",0.689593407220329,4.09577644652424,-0.162800919271782,10000
"53",0.682729460816158,3.06238613149554,-0.174208812079174,10000
"54",0.491109877564344,4.25601735118189,-0.219920245597153,10000
